--- TRAINING CONFIGURATION ---
{'model': {'modes1': 64, 'modes2': 64, 'modes3': 64, 'width': 32, 'n_vars': 5, 'n_layers': 4}, 'data': {'train_times': [1, 3], 'target_time': 5, 'simulation_dt': 20.0, 'grid_shape': (256, 256, 256)}, 'physics': {'kappa': 1e-06}, 'training': {'epochs': 4000, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'scheduler_pct_start': 0.1}, 'loss_weights': {'physics': 2.0, 'data': 10.0, 'bc': 50.0, 'smooth': 0.001}}

Epoch 140/4000 | Total: 1.9936e+05 | Physics: 1.3016e+00 | Data: 1.9933e+04 | BC: 4.0450e-01 | Smooth: 5.7178e-01
Epoch 141/4000 | Total: 1.9918e+05 | Physics: 1.3016e+00 | Data: 1.9916e+04 | BC: 4.0448e-01 | Smooth: 5.8954e-01
Epoch 142/4000 | Total: 1.9900e+05 | Physics: 1.3015e+00 | Data: 1.9898e+04 | BC: 4.0446e-01 | Smooth: 6.0785e-01
Epoch 143/4000 | Total: 1.9882e+05 | Physics: 1.3014e+00 | Data: 1.9879e+04 | BC: 4.0443e-01 | Smooth: 6.2664e-01
Epoch 144/4000 | Total: 1.9862e+05 | Physics: 1.3013e+00 | Data: 1.9859e+04 | BC: 4.0441e-01 | Smooth: 6.4585e-01
Epoch 145/4000 | Total: 1.9841e+05 | Physics: 1.3012e+00 | Data: 1.9839e+04 | BC: 4.0438e-01 | Smooth: 6.6545e-01
Epoch 146/4000 | Total: 1.9819e+05 | Physics: 1.3010e+00 | Data: 1.9817e+04 | BC: 4.0435e-01 | Smooth: 6.8527e-01
Epoch 147/4000 | Total: 1.9796e+05 | Physics: 1.3008e+00 | Data: 1.9794e+04 | BC: 4.0432e-01 | Smooth: 7.0509e-01
Epoch 148/4000 | Total: 1.9772e+05 | Physics: 1.3006e+00 | Data: 1.9770e+04 | BC: 4.0429e-01 | Smooth: 7.2476e-01
Epoch 149/4000 | Total: 1.9747e+05 | Physics: 1.3004e+00 | Data: 1.9745e+04 | BC: 4.0427e-01 | Smooth: 7.4428e-01
Epoch 150/4000 | Total: 1.9721e+05 | Physics: 1.3002e+00 | Data: 1.9719e+04 | BC: 4.0424e-01 | Smooth: 7.6364e-01
Epoch 151/4000 | Total: 1.9693e+05 | Physics: 1.3001e+00 | Data: 1.9691e+04 | BC: 4.0422e-01 | Smooth: 7.8269e-01
Epoch 152/4000 | Total: 1.9665e+05 | Physics: 1.2999e+00 | Data: 1.9662e+04 | BC: 4.0420e-01 | Smooth: 8.0152e-01
Epoch 153/4000 | Total: 1.9634e+05 | Physics: 1.2998e+00 | Data: 1.9632e+04 | BC: 4.0418e-01 | Smooth: 8.2047e-01
Epoch 154/4000 | Total: 1.9603e+05 | Physics: 1.2997e+00 | Data: 1.9601e+04 | BC: 4.0416e-01 | Smooth: 8.3967e-01
Epoch 155/4000 | Total: 1.9570e+05 | Physics: 1.2996e+00 | Data: 1.9568e+04 | BC: 4.0415e-01 | Smooth: 8.5910e-01
Epoch 156/4000 | Total: 1.9535e+05 | Physics: 1.2996e+00 | Data: 1.9533e+04 | BC: 4.0415e-01 | Smooth: 8.7907e-01
Epoch 157/4000 | Total: 1.9499e+05 | Physics: 1.2995e+00 | Data: 1.9497e+04 | BC: 4.0415e-01 | Smooth: 8.9940e-01
Epoch 158/4000 | Total: 1.9461e+05 | Physics: 1.2995e+00 | Data: 1.9459e+04 | BC: 4.0416e-01 | Smooth: 9.1993e-01
